,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,SR_Pass,default,1,DATA,1.0,nominal,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_data_obs_run2.root,mjj_my_data_obs_run2_SR_Pass_nom,data_obs_run2,Data,,,,,,
561,MX3000_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,lumi,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3000_MY90_2016APV.root,mjj_my_MX3000_MY90_2016APV_SR_Pass_nom,MX3000_MY90_2016APV,XtoHY,,1.019,,lnN,,
562,MX3000_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,pdf,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3000_MY90_2016APV.root,mjj_my_MX3000_MY90_2016APV_SR_Pass_pdf_up,MX3000_MY90_2016APV,XtoHY,,,1.0,shapes,Up,pdf
563,MX3000_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,pdf,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3000_MY90_2016APV.root,mjj_my_MX3000_MY90_2016APV_SR_Pass_pdf_down,MX3000_MY90_2016APV,XtoHY,,,1.0,shapes,Down,pdf
564,MX3000_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,prefire,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3000_MY90_2016APV.root,mjj_my_MX3000_MY90_2016APV_SR_Pass_prefire_up,MX3000_MY90_2016APV,XtoHY,,,1.0,shapes,Up,prefire
565,MX3000_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,prefire,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3000_MY90_2016APV.root,mjj_my_MX3000_MY90_2016APV_SR_Pass_prefire_down,MX3000_MY90_2016APV,XtoHY,,,1.0,shapes,Down,prefire
566,MX3000_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,pileup,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3000_MY90_2016APV.root,mjj_my_MX3000_MY90_2016APV_SR_Pass_pileup_up,MX3000_MY90_2016APV,XtoHY,,,1.0,shapes,Up,pileup
567,MX3000_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,pileup,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3000_MY90_2016APV.root,mjj_my_MX3000_MY90_2016APV_SR_Pass_pileup_down,MX3000_MY90_2016APV,XtoHY,,,1.0,shapes,Down,pileup
568,MX3000_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,PS_ISR,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3000_MY90_2016APV.root,mjj_my_MX3000_MY90_2016APV_SR_Pass_PS_ISR_up,MX3000_MY90_2016APV,XtoHY,,,1.0,shapes,Up,PS_ISR
569,MX3000_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,PS_ISR,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3000_MY90_2016APV.root,mjj_my_MX3000_MY90_2016APV_SR_Pass_PS_ISR_down,MX3000_MY90_2016APV,XtoHY,,,1.0,shapes,Down,PS_ISR
570,MX3000_MY90_2016APV,SR_Pass,default,1,SIGNAL,1.0,PS_FSR,/uscms_data/d3/roguljic/el8_anomalous/fitting/AnomalousSearchFits/templates//templates_MX3000_MY90_2016APV.root,mjj_my_MX3000_MY90_2016APV_SR_Pass_PS_FSR_up,MX3000_MY90_2016APV,XtoHY,,,1.0,shapes,Up,PS_FSR
